what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1303432408449
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.15,"org.tigris.subversion.clientadapter.javahl",1303432408489
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1303432408500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303432409976
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303432409980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303432414009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303432416871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303432435960
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1303432437373
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1303432437453
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303432437855
